Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity
1118,13,300,Hair Spa,Highly recommend,3/23/2024
1119,13,472,Body Scrub,Could be better,1/18/2024
1120,1,328,Body Scrub,Staff was friendly,1/3/2024
1121,9,220,Hair Spa,Average service,4/7/2024
1122,7,232,Facial,Great experience,1/2/2024
1123,9,51,Hair Spa,Excellent!,3/5/2024
1124,8,243,Body Scrub,Too expensive,2/4/2024
1125,1,215,Wellness Package,Could be better,2/20/2024
1126,12,296,Facial,Excellent!,3/8/2024
1127,8,462,Hair Spa,Staff was friendly,2/4/2024
1128,8,293,Massage,Great experience,3/12/2024
1129,11,159,Hair Spa,Average service,2/13/2024
1130,3,429,Body Scrub,Could be better,1/29/2024
1131,1,372,Body Scrub,Loved it!,2/5/2024
1132,8,120,Massage,Not satisfied,3/18/2024
1133,3,213,Facial,Great experience,2/11/2024
1134,3,334,Body Scrub,Could be better,4/22/2024
1135,1,424,Facial,Great experience,4/3/2024
1136,11,470,Facial,Great experience,4/23/2024
1137,5,162,Hair Spa,Highly recommend,1/7/2024
1138,10,277,Facial,Staff was friendly,1/13/2024
1139,7,350,Body Scrub,Will come again,1/22/2024
1140,10,65,Body Scrub,Staff was friendly,2/26/2024
1141,9,80,Wellness Package,Not satisfied,2/14/2024
1142,12,211,Facial,Staff was friendly,2/23/2024
1143,7,355,Wellness Package,Excellent!,1/2/2024
1144,9,242,Hair Spa,Not satisfied,3/12/2024
1145,8,259,Wellness Package,Loved it!,2/26/2024
1146,12,427,Facial,Not satisfied,3/25/2024
1147,2,495,Body Scrub,Great experience,4/27/2024
1148,1,281,Hair Spa,Excellent!,3/24/2024
1149,7,476,Facial,Staff was friendly,3/15/2024
1150,7,233,Hair Spa,Excellent!,2/3/2024
1151,14,64,Massage,Average service,2/13/2024
1152,8,481,Facial,Excellent!,3/9/2024
1153,5,354,Massage,Great experience,2/22/2024
1154,3,258,Wellness Package,Highly recommend,3/2/2024
1155,12,221,Facial,Not satisfied,4/21/2024
1156,8,315,Massage,Average service,4/3/2024
1157,6,69,Body Scrub,Average service,2/2/2024
1158,11,119,Wellness Package,Average service,3/16/2024
1159,3,57,Facial,Too expensive,3/9/2024
1160,1,478,Facial,Staff was friendly,1/1/2024
1161,3,83,Body Scrub,Staff was friendly,2/4/2024
1162,5,273,Body Scrub,Average service,1/25/2024
1163,14,228,Massage,Not satisfied,1/4/2024
1164,3,295,Massage,Too expensive,3/13/2024
1165,1,309,Massage,Average service,4/27/2024
1166,5,157,Hair Spa,Average service,4/22/2024
1167,10,291,Wellness Package,Excellent!,4/17/2024
1168,7,472,Facial,Highly recommend,4/24/2024
1169,14,73,Wellness Package,Too expensive,3/7/2024
1170,7,265,Body Scrub,Not satisfied,4/3/2024
1171,11,104,Wellness Package,Staff was friendly,3/24/2024
1172,9,75,Wellness Package,Great experience,1/10/2024
1173,10,330,Massage,Highly recommend,1/20/2024
1174,10,341,Body Scrub,Great experience,2/9/2024
1175,12,376,Wellness Package,Could be better,3/7/2024
1176,13,235,Facial,Staff was friendly,3/15/2024
1177,3,61,Massage,Excellent!,1/15/2024
1178,7,178,Wellness Package,Will come again,4/25/2024
1179,1,421,Body Scrub,Not satisfied,1/28/2024
1180,4,483,Facial,Too expensive,4/17/2024
1181,13,458,Body Scrub,Could be better,2/4/2024
1182,4,257,Body Scrub,Highly recommend,1/7/2024
1183,14,182,Body Scrub,Average service,2/23/2024
1184,5,388,Hair Spa,Will come again,4/6/2024
1185,7,245,Facial,Highly recommend,2/11/2024
1186,7,311,Body Scrub,Highly recommend,4/22/2024
1187,13,331,Hair Spa,Highly recommend,2/7/2024
1188,11,418,Massage,Highly recommend,3/23/2024
1189,13,152,Hair Spa,Highly recommend,3/4/2024
1190,4,169,Massage,Will come again,2/26/2024
1191,13,232,Hair Spa,Great experience,4/17/2024
1192,7,472,Body Scrub,Not satisfied,1/29/2024
1193,11,58,Hair Spa,Average service,3/6/2024
1194,3,94,Hair Spa,Staff was friendly,4/17/2024
1195,6,293,Body Scrub,Too expensive,3/23/2024
1196,12,319,Massage,Highly recommend,3/13/2024
1197,2,161,Body Scrub,Too expensive,1/6/2024
1198,10,104,Facial,Will come again,3/21/2024
1199,13,442,Hair Spa,Too expensive,1/2/2024
1200,14,64,Facial,Great experience,2/8/2024
1201,9,86,Body Scrub,Excellent!,1/6/2024
1202,5,227,Body Scrub,Could be better,1/14/2024
1203,6,176,Wellness Package,Staff was friendly,4/22/2024
1204,12,166,Facial,Staff was friendly,3/30/2024
1205,12,389,Wellness Package,Highly recommend,1/18/2024
1206,12,121,Facial,Loved it!,3/10/2024
1207,12,401,Wellness Package,Too expensive,3/16/2024
1208,4,160,Wellness Package,Will come again,4/11/2024
1209,14,198,Facial,Not satisfied,1/22/2024
1210,14,234,Body Scrub,Excellent!,3/18/2024
1211,11,154,Massage,Great experience,1/13/2024
1212,10,196,Body Scrub,Loved it!,3/13/2024
1213,7,270,Massage,Too expensive,4/23/2024
1214,12,363,Facial,Could be better,4/15/2024
1215,9,400,Hair Spa,Average service,4/5/2024
1216,7,423,Body Scrub,Will come again,1/10/2024
1217,14,55,Wellness Package,Great experience,1/27/2024
1218,1,309,Body Scrub,Could be better,1/14/2024
1219,1,348,Facial,Excellent!,1/9/2024
1220,9,398,Hair Spa,Great experience,1/9/2024
1221,11,91,Hair Spa,Average service,3/30/2024
1222,14,308,Body Scrub,Excellent!,2/26/2024
1223,9,434,Body Scrub,Could be better,4/5/2024
1224,4,488,Body Scrub,Great experience,4/14/2024
1225,13,320,Facial,Not satisfied,2/4/2024
1226,9,96,Massage,Great experience,1/26/2024
1227,3,134,Massage,Great experience,2/10/2024
1228,7,223,Wellness Package,Great experience,4/18/2024
1229,6,107,Facial,Loved it!,4/15/2024
1230,8,248,Hair Spa,Great experience,3/7/2024
1231,11,258,Wellness Package,Great experience,1/30/2024
1232,9,297,Hair Spa,Loved it!,1/29/2024
1233,14,260,Hair Spa,Not satisfied,3/24/2024
1234,5,88,Body Scrub,Staff was friendly,3/8/2024
1235,1,301,Hair Spa,Not satisfied,1/14/2024
1236,3,180,Hair Spa,Will come again,4/18/2024
1237,10,463,Facial,Average service,2/21/2024
1238,12,340,Body Scrub,Great experience,2/8/2024
1239,8,299,Body Scrub,Could be better,1/21/2024
1240,11,490,Wellness Package,Staff was friendly,3/11/2024
1241,6,462,Body Scrub,Great experience,1/6/2024
1242,8,483,Massage,Excellent!,2/24/2024
1243,9,495,Facial,Will come again,2/9/2024
1244,4,101,Wellness Package,Could be better,3/10/2024
1245,1,423,Massage,Will come again,1/25/2024
1246,14,63,Hair Spa,Highly recommend,1/4/2024
1247,1,468,Massage,Excellent!,4/10/2024
1248,10,205,Wellness Package,Great experience,3/29/2024
1249,4,491,Body Scrub,Could be better,3/22/2024
1250,12,79,Facial,Could be better,2/3/2024
1251,14,139,Wellness Package,Staff was friendly,3/29/2024
1252,7,440,Massage,Average service,1/22/2024
1253,2,216,Massage,Will come again,2/25/2024
1254,3,400,Wellness Package,Will come again,2/15/2024
1255,1,118,Wellness Package,Loved it!,4/29/2024
1256,5,212,Wellness Package,Staff was friendly,2/25/2024
1257,1,291,Body Scrub,Average service,3/18/2024
1258,8,432,Wellness Package,Will come again,4/10/2024
1259,1,101,Hair Spa,Excellent!,3/15/2024
1260,11,191,Facial,Excellent!,1/27/2024
1261,1,112,Facial,Too expensive,3/30/2024
1262,2,341,Hair Spa,Will come again,4/25/2024
1263,2,140,Massage,Staff was friendly,2/4/2024
1264,12,201,Massage,Great experience,1/16/2024
1265,6,473,Massage,Loved it!,4/25/2024
1266,7,206,Massage,Average service,4/13/2024
1267,5,358,Body Scrub,Highly recommend,1/20/2024
1268,1,414,Hair Spa,Great experience,1/15/2024
1269,1,199,Facial,Could be better,3/18/2024
1270,3,377,Hair Spa,Will come again,4/19/2024
1271,14,320,Facial,Staff was friendly,3/12/2024
1272,2,418,Massage,Average service,1/24/2024
1273,5,118,Body Scrub,Could be better,3/2/2024
1274,12,165,Wellness Package,Highly recommend,4/6/2024
1275,10,241,Wellness Package,Loved it!,3/20/2024
1276,6,53,Massage,Excellent!,3/31/2024
1277,7,124,Massage,Not satisfied,4/1/2024
1278,4,451,Hair Spa,Staff was friendly,2/13/2024
1279,7,347,Body Scrub,Average service,1/14/2024
1280,11,290,Body Scrub,Will come again,3/13/2024
1281,8,79,Hair Spa,Could be better,4/19/2024
1282,11,192,Body Scrub,Too expensive,3/17/2024
1283,1,375,Body Scrub,Will come again,2/20/2024
1284,6,232,Wellness Package,Not satisfied,1/22/2024
1285,8,486,Body Scrub,Will come again,4/3/2024
1286,5,65,Massage,Staff was friendly,2/1/2024
1287,4,160,Wellness Package,Too expensive,3/20/2024
1288,2,409,Massage,Will come again,4/24/2024
1289,6,250,Massage,Staff was friendly,1/25/2024
1290,6,156,Hair Spa,Loved it!,2/18/2024
1291,11,428,Body Scrub,Excellent!,1/23/2024
1292,1,211,Body Scrub,Great experience,2/6/2024
1293,9,332,Body Scrub,Could be better,4/1/2024
1294,12,318,Body Scrub,Too expensive,1/3/2024
1295,11,204,Wellness Package,Average service,2/29/2024
1296,6,122,Facial,Too expensive,2/28/2024
1297,13,246,Massage,Highly recommend,1/23/2024
1298,3,292,Facial,Average service,2/2/2024
1299,4,135,Facial,Great experience,2/23/2024
1300,12,336,Facial,Not satisfied,2/8/2024
1301,11,308,Wellness Package,Will come again,1/25/2024
1302,4,335,Facial,Highly recommend,3/3/2024
1303,3,198,Wellness Package,Excellent!,3/29/2024
1304,10,404,Hair Spa,Will come again,4/12/2024
1305,3,439,Hair Spa,Could be better,3/25/2024
1306,3,465,Hair Spa,Too expensive,4/28/2024
1307,4,475,Wellness Package,Great experience,2/28/2024
1308,7,239,Wellness Package,Loved it!,1/31/2024
1309,4,266,Massage,Will come again,2/18/2024
1310,9,465,Facial,Too expensive,4/3/2024
1311,1,404,Body Scrub,Great experience,4/12/2024
1312,8,135,Body Scrub,Loved it!,4/18/2024
1313,7,265,Facial,Loved it!,2/29/2024
1314,2,472,Body Scrub,Not satisfied,4/18/2024
1315,8,369,Body Scrub,Will come again,4/15/2024
1316,1,167,Body Scrub,Will come again,3/4/2024
1317,11,463,Wellness Package,Staff was friendly,4/25/2024
1318,12,496,Wellness Package,Could be better,4/7/2024
1319,9,419,Wellness Package,Not satisfied,2/7/2024
1320,9,464,Facial,Too expensive,3/11/2024
1321,2,136,Hair Spa,Excellent!,3/31/2024
1322,7,89,Body Scrub,Excellent!,3/17/2024
1323,14,210,Massage,Highly recommend,4/2/2024
1324,10,240,Wellness Package,Could be better,3/27/2024
1325,3,74,Massage,Staff was friendly,1/8/2024
1326,7,469,Body Scrub,Average service,3/25/2024
1327,12,201,Hair Spa,Highly recommend,1/13/2024
1328,10,144,Massage,Excellent!,1/26/2024
1329,9,491,Body Scrub,Staff was friendly,4/16/2024
1330,4,472,Body Scrub,Too expensive,1/10/2024
1331,12,95,Wellness Package,Not satisfied,4/2/2024
1332,1,187,Hair Spa,Not satisfied,3/31/2024
1333,2,337,Body Scrub,Could be better,2/25/2024
1334,1,402,Hair Spa,Staff was friendly,1/4/2024
1335,14,213,Wellness Package,Will come again,4/15/2024
1336,12,461,Massage,Not satisfied,1/31/2024
1337,5,449,Facial,Will come again,1/17/2024
1338,5,65,Facial,Loved it!,1/8/2024
1339,11,67,Facial,Staff was friendly,2/21/2024
1340,7,185,Hair Spa,Staff was friendly,2/6/2024
1341,9,296,Facial,Could be better,1/20/2024
1342,9,297,Massage,Could be better,2/16/2024
1343,3,380,Body Scrub,Loved it!,4/28/2024
1344,3,247,Hair Spa,Excellent!,3/14/2024
1345,3,50,Massage,Will come again,2/20/2024
1346,4,239,Hair Spa,Loved it!,4/23/2024
1347,8,430,Hair Spa,Average service,2/27/2024
1348,6,343,Hair Spa,Great experience,2/13/2024
1349,8,94,Wellness Package,Too expensive,4/7/2024
1350,1,491,Body Scrub,Highly recommend,4/12/2024
1351,8,386,Facial,Staff was friendly,1/11/2024
1352,4,434,Wellness Package,Too expensive,4/20/2024
1353,11,81,Body Scrub,Not satisfied,1/12/2024
1354,1,441,Facial,Highly recommend,1/10/2024
1355,8,167,Wellness Package,Will come again,3/17/2024
1356,4,345,Wellness Package,Staff was friendly,2/23/2024
1357,6,233,Massage,Not satisfied,2/3/2024
1358,8,240,Wellness Package,Average service,4/29/2024
1359,4,284,Hair Spa,Highly recommend,1/30/2024
1360,14,287,Wellness Package,Will come again,1/15/2024
1361,3,265,Hair Spa,Staff was friendly,4/27/2024
1362,14,123,Body Scrub,Will come again,1/8/2024
1363,9,160,Body Scrub,Not satisfied,4/11/2024
1364,3,152,Hair Spa,Excellent!,4/9/2024
1365,9,408,Massage,Could be better,2/9/2024
1366,13,123,Massage,Excellent!,4/25/2024
1367,2,469,Body Scrub,Staff was friendly,1/22/2024
1368,14,301,Wellness Package,Average service,1/5/2024
1369,2,163,Body Scrub,Too expensive,4/5/2024
1370,2,428,Body Scrub,Excellent!,1/20/2024
1371,6,362,Hair Spa,Will come again,3/27/2024
1372,3,379,Massage,Could be better,4/13/2024
1373,13,388,Hair Spa,Could be better,4/19/2024
1374,9,287,Body Scrub,Could be better,4/27/2024
1375,4,222,Facial,Could be better,2/18/2024
1376,1,128,Wellness Package,Average service,4/28/2024
1377,4,435,Body Scrub,Loved it!,2/21/2024
1378,1,142,Hair Spa,Average service,3/6/2024
1379,14,99,Facial,Great experience,1/19/2024
1380,5,334,Facial,Will come again,3/30/2024
1381,4,272,Body Scrub,Staff was friendly,4/9/2024
1382,8,130,Massage,Loved it!,1/14/2024
1383,8,315,Facial,Excellent!,1/7/2024
1384,7,204,Wellness Package,Not satisfied,2/26/2024
1385,3,422,Hair Spa,Not satisfied,3/20/2024
1386,1,282,Hair Spa,Loved it!,1/10/2024
1387,1,448,Hair Spa,Not satisfied,4/16/2024
1388,12,365,Body Scrub,Will come again,1/22/2024
1389,11,285,Hair Spa,Average service,3/30/2024
1390,3,208,Hair Spa,Not satisfied,1/5/2024
1391,6,454,Wellness Package,Too expensive,3/16/2024
1392,7,365,Massage,Will come again,3/28/2024
1393,6,300,Body Scrub,Staff was friendly,4/29/2024
1394,14,363,Body Scrub,Could be better,1/24/2024
1395,14,474,Hair Spa,Could be better,1/15/2024
1396,6,479,Wellness Package,Not satisfied,3/28/2024
1397,6,350,Facial,Highly recommend,3/28/2024
1398,13,429,Hair Spa,Great experience,4/15/2024
1399,3,331,Hair Spa,Average service,1/26/2024
1400,6,151,Body Scrub,Staff was friendly,2/24/2024
1401,8,100,Body Scrub,Highly recommend,4/7/2024
1402,11,469,Hair Spa,Average service,1/18/2024
1403,11,101,Body Scrub,Great experience,2/12/2024
1404,2,258,Wellness Package,Will come again,4/10/2024
1405,5,356,Facial,Could be better,1/6/2024
1406,14,180,Facial,Will come again,2/14/2024
1407,1,319,Facial,Average service,1/25/2024
1408,12,482,Hair Spa,Could be better,3/21/2024
1409,1,254,Hair Spa,Excellent!,1/16/2024
1410,5,268,Hair Spa,Not satisfied,2/24/2024
1411,12,306,Wellness Package,Loved it!,4/28/2024
1412,13,234,Facial,Staff was friendly,2/25/2024
1413,3,194,Body Scrub,Average service,1/29/2024
1414,4,227,Body Scrub,Average service,3/4/2024
1415,3,63,Massage,Great experience,1/1/2024
1416,1,295,Massage,Excellent!,2/14/2024
1417,1,236,Body Scrub,Highly recommend,4/15/2024
1418,12,386,Facial,Average service,4/18/2024
1419,12,308,Hair Spa,Loved it!,3/24/2024
1420,14,403,Body Scrub,Will come again,1/26/2024
1421,13,89,Body Scrub,Average service,3/25/2024
1422,14,138,Massage,Great experience,2/19/2024
1423,5,174,Facial,Highly recommend,4/23/2024
1424,6,499,Body Scrub,Staff was friendly,1/27/2024
1425,3,467,Hair Spa,Not satisfied,4/9/2024
1426,12,400,Hair Spa,Could be better,2/4/2024
1427,9,58,Wellness Package,Could be better,3/20/2024
1428,5,399,Hair Spa,Great experience,1/29/2024
1429,8,133,Body Scrub,Will come again,1/7/2024
1430,13,70,Body Scrub,Average service,3/2/2024
1431,1,330,Hair Spa,Average service,3/11/2024
1432,14,407,Massage,Not satisfied,2/3/2024
1433,5,427,Facial,Excellent!,2/17/2024
1434,3,221,Body Scrub,Staff was friendly,1/5/2024
1435,12,74,Hair Spa,Excellent!,4/26/2024
1436,1,442,Hair Spa,Highly recommend,1/8/2024
1437,4,152,Body Scrub,Great experience,3/12/2024
1438,13,239,Wellness Package,Loved it!,2/12/2024
1439,5,285,Facial,Loved it!,4/2/2024
1440,7,459,Body Scrub,Could be better,2/21/2024
1441,1,362,Hair Spa,Not satisfied,3/14/2024
1442,3,86,Wellness Package,Could be better,1/1/2024
1443,2,321,Body Scrub,Will come again,2/7/2024
1444,9,342,Facial,Excellent!,4/1/2024
1445,10,381,Wellness Package,Staff was friendly,1/7/2024
1446,6,201,Hair Spa,Could be better,3/21/2024
1447,10,331,Massage,Loved it!,2/25/2024
1448,3,69,Facial,Will come again,4/21/2024
1449,8,186,Wellness Package,Staff was friendly,2/15/2024
1450,14,408,Body Scrub,Too expensive,1/24/2024
1451,8,78,Body Scrub,Excellent!,2/4/2024
1452,2,80,Wellness Package,Could be better,3/13/2024
1453,6,68,Body Scrub,Loved it!,2/11/2024
1454,7,197,Wellness Package,Highly recommend,3/7/2024
1455,2,332,Facial,Could be better,2/13/2024
1456,11,399,Body Scrub,Loved it!,1/4/2024
1457,10,390,Facial,Not satisfied,4/5/2024
1458,2,349,Hair Spa,Excellent!,4/17/2024
1459,10,212,Hair Spa,Average service,4/27/2024
1460,1,162,Hair Spa,Average service,4/28/2024
1461,8,199,Hair Spa,Not satisfied,3/17/2024
1462,1,379,Body Scrub,Excellent!,1/24/2024
1463,9,304,Wellness Package,Excellent!,3/11/2024
1464,11,136,Body Scrub,Excellent!,1/19/2024
1465,6,448,Body Scrub,Excellent!,3/31/2024
1466,7,399,Facial,Loved it!,2/19/2024
1467,13,147,Wellness Package,Great experience,3/31/2024
1468,10,446,Massage,Great experience,1/18/2024
1469,7,181,Massage,Highly recommend,4/3/2024
1470,10,361,Wellness Package,Highly recommend,1/28/2024
1471,3,456,Massage,Not satisfied,1/29/2024
1472,2,146,Wellness Package,Highly recommend,3/13/2024
1473,9,147,Facial,Highly recommend,4/12/2024
1474,8,339,Facial,Highly recommend,4/12/2024
1475,13,405,Body Scrub,Will come again,3/25/2024
1476,12,276,Massage,Could be better,2/14/2024
1477,10,194,Wellness Package,Loved it!,4/11/2024
1478,7,205,Facial,Staff was friendly,1/7/2024
1479,9,319,Body Scrub,Excellent!,2/14/2024
1480,4,211,Massage,Loved it!,3/29/2024
1481,13,161,Massage,Could be better,1/26/2024
1482,4,380,Massage,Staff was friendly,4/25/2024
1483,1,234,Facial,Average service,3/10/2024
1484,8,254,Facial,Average service,2/18/2024
1485,14,146,Massage,Excellent!,4/28/2024
1486,14,426,Facial,Will come again,3/24/2024
1487,12,104,Massage,Staff was friendly,1/18/2024
1488,3,499,Hair Spa,Will come again,3/24/2024
1489,7,166,Facial,Loved it!,2/9/2024
1490,12,142,Wellness Package,Excellent!,1/18/2024
1491,2,342,Facial,Not satisfied,2/16/2024
1492,2,253,Massage,Not satisfied,1/1/2024
1493,7,331,Wellness Package,Could be better,2/2/2024
1494,6,238,Body Scrub,Could be better,2/8/2024
1495,3,372,Wellness Package,Highly recommend,4/21/2024
1496,9,133,Wellness Package,Could be better,1/23/2024
1497,10,229,Facial,Great experience,4/25/2024
1498,14,323,Wellness Package,Average service,1/14/2024
1499,13,230,Wellness Package,Will come again,4/1/2024
1500,6,496,Massage,Highly recommend,3/25/2024
1501,10,230,Facial,Not satisfied,2/13/2024
1502,10,332,Massage,Great experience,2/6/2024
1503,6,336,Facial,Loved it!,3/11/2024
1504,1,155,Body Scrub,Staff was friendly,3/16/2024
1505,4,178,Wellness Package,Will come again,4/24/2024
1506,10,311,Facial,Too expensive,2/6/2024
1507,6,60,Wellness Package,Will come again,4/12/2024
1508,6,211,Wellness Package,Could be better,1/28/2024
1509,11,496,Hair Spa,Great experience,1/7/2024
1510,12,230,Massage,Average service,4/18/2024
1511,5,262,Facial,Great experience,2/21/2024
1512,1,323,Body Scrub,Loved it!,1/17/2024
1513,8,70,Hair Spa,Average service,3/2/2024
1514,5,324,Massage,Will come again,2/6/2024
1515,12,309,Body Scrub,Great experience,1/14/2024
1516,12,382,Body Scrub,Highly recommend,4/16/2024
1517,12,165,Wellness Package,Average service,4/25/2024
1518,5,462,Massage,Will come again,2/20/2024
1519,7,74,Hair Spa,Excellent!,2/24/2024
1520,4,489,Facial,Excellent!,2/26/2024
1521,6,382,Facial,Could be better,1/4/2024
1522,13,303,Hair Spa,Will come again,3/26/2024
1523,4,496,Wellness Package,Highly recommend,2/18/2024
1524,14,460,Wellness Package,Loved it!,3/21/2024
1525,3,493,Body Scrub,Will come again,2/4/2024
1526,7,260,Massage,Staff was friendly,4/19/2024
1527,8,354,Body Scrub,Loved it!,2/22/2024
1528,4,370,Facial,Great experience,2/1/2024
1529,13,471,Hair Spa,Staff was friendly,4/11/2024
1530,2,388,Massage,Excellent!,4/4/2024
1531,12,485,Hair Spa,Will come again,3/29/2024
1532,10,306,Massage,Too expensive,1/10/2024
1533,14,217,Facial,Not satisfied,4/22/2024
1534,3,386,Facial,Average service,3/2/2024
1535,1,70,Massage,Will come again,1/2/2024
1536,8,135,Wellness Package,Will come again,3/3/2024
1537,3,64,Massage,Highly recommend,3/31/2024
1538,12,99,Facial,Staff was friendly,3/16/2024
1539,10,353,Hair Spa,Will come again,4/29/2024
1540,7,465,Body Scrub,Not satisfied,4/26/2024
